,distance_liquid,distance_column,ratio,-ln_intensity,I_empty,I_full
928,18.033741918021263,1.051578677588875,0.055098821752606615,2.7303255385691503,12119.098999999998,790.1417647058838
929,18.024040571939793,1.052113444356408,0.05515333140305002,2.7317282028100487,12218.719176470584,795.5201764705876
930,18.014287289018863,1.0526516075987047,0.05520821214701867,2.730881846987631,12182.651647058825,793.8435294117644
931,18.00448198708073,1.0531931811841027,0.05526346586796158,2.7300344300510866,12146.643352941173,792.1681764705863
932,17.99462458333137,1.0537381791051565,0.05531909446743286,2.7293264905572765,12151.8195882353,793.0670000000005
933,17.9847149943563,1.0542866154801303,0.0553750998652911,2.728535543700602,12144.956117647054,793.2462352941161
934,17.974753136116515,1.0548385045537074,0.055431483999861385,2.7294923961755257,12154.213529411763,793.0916470588236
935,17.964738923944218,1.0553938606984907,0.05548824882813857,2.7272008842338833,12167.374764705892,795.7718823529431
936,17.95467227253877,1.055952698415954,0.055545396325964315,2.725471608417957,12138.047000000002,795.2277647058822
937,17.944553095962295,1.0565150323376855,0.05560292848822134,2.722236508052153,12158.049588235295,799.1192941176455
938,17.934381307635416,1.0570808772266354,0.05566084732902906,2.7233326659718826,12142.016882352944,797.1911764705874
939,17.924156820332918,1.0576502479782945,0.05571915488193782,2.724067992732068,12164.890647058819,798.1058823529424
940,17.913879546179338,1.0582231596218143,0.05577785320012202,2.7220873053745174,12147.179176470587,798.5239411764692
941,17.903549396644507,1.0587996273214166,0.05583694435658961,2.7193652319618233,12155.761117647062,801.2662352941161
942,17.893166282539102,1.0593796663775308,0.0558964304443798,2.717366489822977,12159.828411764707,803.1380000000004
943,17.88273011401002,1.0599632922281081,0.0559563135767718,2.7198494226880685,12141.18647058823,799.9181176470593
944,17.872240800535863,1.0605505204499082,0.05601659588749371,2.72133876774515,12181.406470588232,801.3735882352944
945,17.86169825092226,1.06114136675982,0.056077279530935574,2.7194742361393285,12148.719117647055,800.7147647058828
946,17.85110237329712,1.0617358470161413,0.056138366682362245,2.718707209961329,12169.674000000003,802.7113529411772
947,17.84045307510605,1.0623339772199003,0.05619985953812997,2.719031023374597,12153.708235294118,801.3987058823536
948,17.829750263107243,1.06293577351639,0.05626176031591696,2.716937536882283,12146.741235294117,802.6178235294133
949,17.818993843367014,1.0635412521962344,0.05632407125493072,2.7140553636810267,12172.671294117645,806.652764705882
950,17.80818372125464,1.0641504296969835,0.0563867946161458,2.7158869029683603,12146.896941176474,803.4718235294126
951,17.797319801437393,1.0647633226046018,0.05644993268253774,2.7139305359223043,12133.83635294117,804.1796470588242
952,17.786401987875664,1.065379947654602,0.05651348775930103,2.712341401655295,12124.456117647058,804.8359411764709
953,17.775430183817818,1.0660003217337817,0.05657746217410012,2.7115271736879323,12101.892823529404,803.9925294117629
954,17.764404291795014,1.0666244618814922,0.05664185827729927,2.710552726751123,12100.095294117646,804.656823529413
955,17.7533242136161,1.0672523852912619,0.05670667844221211,2.710229682868269,12077.271470588239,803.3985294117647
956,17.742189850362397,1.067884109312157,0.056771925065340526,2.7072847217134135,12068.85947058823,805.2067647058811
957,17.731001102382244,1.0685196514504263,0.056837600566630744,2.706900675466391,12067.351470588237,805.4154117647058
958,17.719757869285807,1.0691590293709545,0.056903707389721316,2.7054782715539165,12052.584058823528,805.5748235294132
959,17.708460049939596,1.0698022608988964,0.056970248002203315,2.7053494482716216,12052.47994117647,805.6716470588249
960,17.69710754246091,1.0704493640211723,0.057037224895876155,2.703010896579202,12028.762764705882,805.9688235294116
961,17.68570024421248,1.0711003568881416,0.05710464058701413,2.70258825287261,12009.011764705887,804.9855882352949
962,17.674238051796646,1.0717552578151874,0.05717249761663229,2.70201438302405,12017.7484117647,806.033647058824
963,17.662720861049856,1.0724140852843789,0.05724079855075771,2.702716056175825,11982.227235294109,803.0875294117645
964,17.651148567036792,1.0730768579461447,0.05730954598070497,2.7022804311913173,11980.00188235294,803.2882352941169
965,17.63952106404477,1.0737435946208826,0.057378742523350054,2.701008843791942,11958.110352941181,802.8405882352936
966,17.627838245577674,1.0744143143007818,0.05744839082141902,2.7007113326548584,11940.18317647059,801.8755294117641
